PC,Explained_percent,Cumulative_percent
1,98.2440279475419,98.2440279475419
2,1.72972798749523,99.9737559350371
3,0.0212688524996454,99.9950247875367
4,0.00380421002127515,99.998828997558
5,0.000872140876978112,99.999701138435
6,0.000249515421874313,99.9999506538569
7,3.46042036338647e-05,99.9999852580605
8,1.47419395048604e-05,100
