Feature,Sensitivity_Hz_per_percent,Intercept_Hz,R2,NoiseFloor_Hz,LOD_percent
R_peak,1534.01034070498,10009082.526501,0.977026816185807,68.4166720856044,0.133799630165783
X1_peak,2294.7818803054,10003961.9475113,0.997095488857794,115.475781362629,0.150963081529031
B_peak,2354.34322189635,10003244.8554026,0.993577931197509,124.851724846266,0.159091151644876
